t-23,t-22,t-21,t-20,t-19,t-18,t-17,t-16,t-15,t-14,t-13,t-112,t-11,t-10,t-9,t-8,t-7,t-6,t-5,t-4,t-3,t-2,t-1,t,t+1,t+2,t+3,t+4,t+5,t+6
10134,10266,10058,9779,9226,8699,8209,7901,7621,7501,7421,7567,7716,7778,8121,8614,9013,9420,9705,9919,10118,10342,10417,10363,,,,,,
14435,14245,14055,13782,13353,12638,12009,11531,11222,11005,10961,11130,11552,12196,12542,12746,12906,12991,13023,12988,12999,12907,12917,13437,,,,,,
11537,11247,10404,9505,8898,8479,8221,8103,8204,8570,9452,10422,11132,11726,12219,12626,12898,13227,13490,13690,13843,13784,13433,12911,,,,,,
12256,11743,11326,11120,11081,11568,12346,13382,14046,14311,14355,14353,14258,14163,14284,14609,14839,14908,14941,14981,14993,14739,13906,12960,,,,,,
10114,10855,11827,12692,13603,14591,15550,16527,17377,17628,17450,17115,16749,16342,16071,16014,15515,14501,13324,12382,11696,11208,10940,11027,,,,,,
9847,9636,9875,9833,9552,9055,8528,8083,7730,7468,7314,7263,7351,7402,7520,7934,8390,8669,8896,9033,9128,9270,9363,9470,,,,,,
7949,8149,8651,9526,10325,10775,10976,11126,11182,11157,11171,11095,10983,10943,10833,10690,10655,10730,10371,9712,9013,8583,8276,8109,,,,,,
8385,8197,8047,8076,8216,8307,8834,9451,10048,10547,10928,11240,11394,11542,11671,11748,11681,11322,11040,11246,10956,10338,9695,9138,,,,,,
8805,8812,9100,9912,10988,11412,11424,11395,11442,11332,11268,11302,11164,11173,11797,12318,12171,11998,11681,11148,10391,9701,9205,8909,,,,,,
8146,8132,8357,8563,8940,9486,10002,10449,10765,10967,11113,11122,11008,10834,10683,10548,10720,10728,10424,9901,9314,8868,8509,8213,,,,,,
16306,15942,15669,14884,14300,14224,13627,12595,11421,10598,10007,9631,9477,9551,10070,10747,11498,12342,13155,13690,14054,14302,14533,14599,,,,,,
19864,20166,20351,20266,19851,19063,18628,17764,15996,14384,13160,12262,11657,11256,11256,11561,12555,13821,15159,15972,16840,17616,18180,18577,,,,,,
11321,11253,11350,11887,12054,11847,11642,11418,10888,10184,9541,9112,8905,8805,8812,9100,9912,10988,11412,11424,11395,11442,11332,11268,,,,,,
11488,10902,10483,10283,10390,10742,11867,13254,14622,15904,17137,18067,18627,18973,18349,17435,16789,15715,14811,14316,14019,13566,12682,11655,,,,,,
10461,10333,10583,10414,9751,9012,8533,8192,7987,7888,8048,8462,9247,10071,10589,10904,11107,11151,11125,11118,11089,10912,10762,10542,,,,,,
12508,11504,10811,10340,10068,10148,10632,11364,12492,13560,14553,15527,16112,16902,17489,17846,17997,17899,17440,16602,15905,15581,14886,13733,,,,,,
9911,10454,10619,10744,10925,11058,11121,11184,11146,11141,11041,10902,11185,11126,10819,10298,9562,8906,8413,8108,7945,7893,8064,8659,,,,,,
10578,9908,9281,8843,8632,8497,8488,8761,9456,10241,10758,10902,10903,10900,10886,10795,10777,10593,10428,10360,10265,10178,10388,10693,,,,,,
9357,8970,8743,8616,8830,9466,10192,11121,11998,12803,13428,13760,14066,14471,14942,15328,15433,15235,14731,14473,14535,13990,12969,11878,,,,,,
8413,8108,7945,7893,8064,8659,9713,10242,10460,10681,10929,11080,11065,11118,11183,11080,10901,10749,11052,10960,10671,10158,9476,8847,,,,,,
13126,13550,13884,13775,13706,13625,13276,13005,12938,12768,11953,11059,10365,9893,9662,9748,10077,10695,11711,12721,13676,14766,15791,16620,,,,,,
9470,9481,9439,9799,9847,9464,8964,8416,8053,7799,7677,7601,7800,8449,9351,9960,10369,10738,11105,11308,11468,11655,11731,11699,,,,,,
11197,11404,11392,11061,10971,10932,10540,9925,9306,8786,8370,8107,7928,7932,8062,8202,8294,8814,9592,10478,11352,11898,11937,11678,,,,,,
12430,12465,13140,13568,13481,13267,13018,12546,11708,10817,10350,10173,10085,10169,10532,11338,12505,12924,12899,12864,12837,12724,12676,12645,,,,,,
10417,10363,10435,10529,10249,9787,9252,8643,8265,8020,7818,7770,7984,8560,9334,9966,10517,11097,11525,11933,12247,12646,12795,12865,,,,,,
11757,11497,10962,10247,9554,9113,8804,8641,8621,8843,9542,10617,11035,11271,11353,11337,11314,11275,11321,11253,11350,11887,12054,11847,,,,,,
9983,9771,9904,10372,11133,12129,12950,13642,14222,14643,14986,15298,15498,15581,15559,15298,14671,13760,13232,12783,11929,11086,10320,9789,,,,,,
12905,13236,13820,14243,14670,15045,15277,15507,15623,15313,14622,13880,13228,12819,11911,10871,10049,9462,9092,8782,8727,8670,9065,9697,,,,,,
12026,11767,11532,11661,11307,10685,9901,9174,8705,8382,8212,8153,8327,8877,9834,10290,10759,11072,11358,11467,11560,11651,11609,11495,,,,,,
15174,15899,16500,16962,17277,17429,17484,17395,17043,16193,15082,14322,13733,12663,11617,10857,10322,9983,9771,9904,10372,11133,12129,12950,,,,,,
9067,8680,8434,8318,8305,8540,9162,9942,10593,10807,10854,10904,10881,10799,10776,10609,10417,10246,10058,9887,9906,10271,10067,9565,,,,,,
12465,12523,12578,12511,12190,11810,11623,11374,10559,9682,9017,8569,8332,8181,8284,8634,9545,10551,11245,11759,12243,12613,12928,13294,,,,,,
13140,13568,13481,13267,13018,12546,11708,10817,10350,10173,10085,10169,10532,11338,12505,12924,12899,12864,12837,12724,12676,12645,12553,12750,,,,,,
12598,12687,12738,12765,12838,12731,12344,11906,11840,11856,11293,10495,9817,9355,9089,8922,9107,9480,10452,11399,12065,12789,13390,13722,,,,,,
9199,9421,10311,11331,12381,13330,14291,15119,15801,16402,16828,17098,17124,16865,16390,15894,15614,14625,13461,12469,11712,11244,10944,10982,,,,,,
8976,9373,9867,10428,10871,11084,11271,11332,11324,11315,11207,11049,10934,10779,10608,10450,10639,10446,9859,9227,8747,8385,8197,8047,,,,,,
9423,8980,8689,8527,8477,8673,9469,10413,11099,11646,12122,12677,13126,13516,13898,14069,13860,13456,13026,12586,12515,12444,11848,10983,,,,,,
12858,13010,13007,12695,12130,11755,11508,10845,10136,9526,9039,8701,8465,8375,8314,8277,8804,9637,10492,11374,12011,12508,12947,13332,,,,,,
11117,11325,11450,11608,11556,11419,11429,11355,11243,11259,11456,11617,11389,11217,10833,10238,9620,9170,8897,8659,8615,8657,8973,9441,,,,,,
8238,8574,9323,10158,10867,11442,12021,12358,12671,12975,13300,13396,13401,13080,12756,12661,12512,11853,11081,10467,9889,9497,9177,9027,,,,,,
10806,11341,12160,13089,13742,14172,14590,15093,15535,16056,16526,16790,16963,16864,16550,15864,15207,14724,13590,12371,11408,10689,10197,9933,,,,,,
13647,14193,14535,14623,14886,14981,14983,15057,14722,14196,13788,13812,13386,12381,11320,10274,9664,9347,9269,9432,9921,10968,12122,12718,,,,,,
17802,18237,18282,17547,16633,16042,15727,15768,15274,14254,13266,12442,11819,11312,11011,11019,11656,12611,13344,13788,14251,14575,14982,15687,,,,,,
10522,10385,10371,10634,11335,12414,13003,13033,13017,12981,12851,12725,12639,12634,12819,13490,13803,13684,13529,13219,12681,11784,11014,10516,,,,,,
8377,8479,8995,9633,10536,11253,11873,12510,13025,13488,14024,14426,14706,14847,14716,14306,13701,13555,12940,11918,10853,10083,9508,9142,,,,,,
11310,11637,11837,12011,12207,12310,12272,12220,11886,11506,11678,11508,10902,10116,9366,8876,8543,8307,8270,8428,9072,10128,10764,11150,,,,,,
10651,10153,9888,9732,9708,9897,10629,11726,12152,12150,12146,12186,12131,12023,12006,11901,11980,12722,13306,13194,13021,12786,12265,11471,,,,,,
12604,13018,13370,13766,14024,14176,13970,13293,12757,12882,12538,11900,11031,10127,9614,9231,8999,8855,9039,9730,10919,11629,12067,12451,,,,,,
12538,11900,11031,10127,9614,9231,8999,8855,9039,9730,10919,11629,12067,12451,12865,13341,13938,14426,14598,14719,14773,14415,13775,13721,,,,,,
11465,11186,10353,9510,8917,8495,8258,8139,8254,8582,9463,10371,10956,11327,11659,11868,12023,12214,12321,12330,12354,12181,11796,11413,,,,,,
11613,11461,11134,10596,9911,9290,8858,8602,8474,8467,8683,9431,10564,11173,11214,11175,11091,11057,10944,10906,10795,10647,10537,10610,,,,,,
10449,9707,8997,8517,8193,8020,7949,8149,8651,9526,10325,10775,10976,11126,11182,11157,11171,11095,10983,10943,10833,10690,10655,10730,,,,,,
8635,8553,8639,8990,9534,10027,10522,10928,11149,11147,11108,10995,10899,10909,11198,11394,11243,11080,10825,10563,10070,9595,9237,8985,,,,,,
11169,11304,11427,11554,11578,11503,11404,11187,10775,10709,10734,10319,9660,8989,8411,8084,7837,7688,7692,7820,7919,8115,8680,9115,,,,,,
11075,11032,10908,10848,11465,11953,11823,11655,11457,11119,10491,9816,9383,9051,8891,8785,8858,9132,9655,9794,10021,9995,9982,9886,,,,,,
11755,11508,10845,10136,9526,9039,8701,8465,8375,8314,8277,8804,9637,10492,11374,12011,12508,12947,13332,13742,14013,14111,13858,13327,,,,,,
12927,13852,14427,14709,15013,15226,15216,14855,14234,14020,13527,12963,12105,11269,10482,9958,9508,9204,9106,9111,9181,9341,10102,11083,,,,,,
8488,8761,9456,10241,10758,10902,10903,10900,10886,10795,10777,10593,10428,10360,10265,10178,10388,10693,10351,9673,9020,8613,8344,8219,,,,,,
11412,11424,11395,11442,11332,11268,11302,11164,11173,11797,12318,12171,11998,11681,11148,10391,9701,9205,8909,8799,8745,9015,9767,10842,,,,,,
7944,7838,7993,8499,8904,9197,9428,9608,9898,10290,10484,10474,10500,10550,10860,11007,10673,10147,9423,8980,8689,8527,8477,8673,,,,,,
12299,12643,12417,12254,12029,11565,11008,10412,9991,9785,9667,9670,9959,10639,11494,11814,11923,11976,11945,11840,11721,11611,11463,11536,,,,,,
18033,17352,17071,16318,15208,13786,12455,11472,10760,10219,9843,9790,10266,11166,11512,11811,11922,12155,12472,12847,13075,13073,12982,12660,,,,,,
10940,11027,11584,12364,13467,14398,15174,15899,16500,16962,17277,17429,17484,17395,17043,16193,15082,14322,13733,12663,11617,10857,10322,9983,,,,,,
9021,8568,8263,8099,8047,8210,8847,9771,10378,10931,11310,11637,11837,12011,12207,12310,12272,12220,11886,11506,11678,11508,10902,10116,,,,,,
9573,9697,9765,10227,11202,12146,13000,13743,14374,14814,15242,15585,15692,15564,14919,13968,13508,12850,11957,10816,10076,9551,9088,8831,,,,,,
10056,9789,9909,10486,11253,12275,13299,14164,15038,15687,16249,16784,16993,16984,16777,16252,15236,14498,14272,13553,12514,11418,10626,10074,,,,,,
9306,8883,8618,8494,8504,8746,9426,10317,10979,11208,11271,11340,11309,11231,11161,10998,10895,10828,10828,10651,10750,10971,10578,9908,,,,,,
14485,14932,15153,15308,15491,15298,14778,14182,13955,13315,12202,11216,10374,9813,9393,9197,9259,9822,10461,11336,12136,12890,13564,14219,,,,,,
12641,13319,13861,14219,14631,14716,14550,14257,14220,14133,13452,12523,11705,11136,10782,10660,10790,11243,11847,12408,12836,13402,14194,14705,,,,,,
14616,14821,14822,14381,13766,13320,12914,11931,10855,10054,9527,9190,9013,9100,9529,10349,11450,12359,13119,13911,14605,15243,15967,16653,,,,,,
11275,11321,11253,11350,11887,12054,11847,11642,11418,10888,10184,9541,9112,8905,8805,8812,9100,9912,10988,11412,11424,11395,11442,11332,,,,,,
11744,11608,11479,11375,10975,10596,10223,10004,9801,9754,9853,10060,10354,10412,10512,10577,10585,10601,10572,10571,10629,10830,11444,12013,,,,,,
8343,8723,9647,10678,11160,11286,11272,11343,11363,11278,11290,11170,11152,11595,12124,11934,11700,11341,10795,10069,9454,9079,8835,8766,,,,,,
15354,15369,14990,14478,14053,13763,12837,11781,10873,10203,9625,9335,9235,9108,9400,10117,11067,12045,12835,13351,13771,13933,14019,14034,,,,,,
10937,11925,12927,13852,14427,14709,15013,15226,15216,14855,14234,14020,13527,12963,12105,11269,10482,9958,9508,9204,9106,9111,9181,9341,,,,,,
10284,10237,10482,10279,9642,9000,8505,8204,8010,7942,7970,8143,8331,8745,9254,9614,9993,9917,9765,9544,9434,9342,9284,9260,,,,,,
11220,10720,10425,10253,10249,10519,11208,12226,12856,12944,12929,12840,12598,12557,12522,12515,12568,13145,13379,13120,12886,12569,12197,11462,,,,,,
8097,8250,8548,9471,10435,11036,11462,11807,12025,12172,12363,12465,12523,12578,12511,12190,11810,11623,11374,10559,9682,9017,8569,8332,,,,,,
8565,8611,8850,9505,10291,11009,11647,12090,12504,12833,13208,13624,13767,13614,13348,13030,12722,12483,11818,11042,10399,9816,9441,9267,,,,,,
10832,10711,10644,10648,10614,10817,10863,10346,9587,8898,8501,8240,8086,8070,8273,8880,9670,10352,10630,10751,10848,10870,10854,10878,,,,,,
11241,10935,10979,11426,12215,13405,14596,15581,16459,17122,17679,18309,18626,18506,17952,17237,16656,16227,15986,15187,14179,13141,12146,11437,,,,,,
11244,10944,10982,11352,12498,14046,15274,16387,17435,18267,18944,19527,19864,20166,20351,20266,19851,19063,18628,17764,15996,14384,13160,12262,,,,,,
10629,11726,12152,12150,12146,12186,12131,12023,12006,11901,11980,12722,13306,13194,13021,12786,12265,11471,10738,10229,10016,9906,9975,10263,,,,,,
12634,12819,13490,13803,13684,13529,13219,12681,11784,11014,10516,10245,10166,10194,10555,11281,12388,12902,12906,12860,12751,12571,12437,12438,,,,,,
10961,11130,11552,12196,12542,12746,12906,12991,13023,12988,12999,12907,12917,13437,13862,13767,13572,13294,12917,12340,11644,11233,10947,10828,,,,,,
10350,10173,10085,10169,10532,11338,12505,12924,12899,12864,12837,12724,12676,12645,12553,12750,13505,14111,13984,13803,13510,12952,12158,11335,,,,,,
9584,9436,9512,10153,10718,10646,10578,10440,10210,9814,9285,8917,8636,8530,8457,8542,8728,9010,9024,9168,9199,9224,9211,9151,,,,,,
12451,12865,13341,13938,14426,14598,14719,14773,14415,13775,13721,13185,12359,11291,10413,9721,9284,9018,8885,9043,9729,10827,11505,12304,,,,,,
10992,10959,10796,10648,10555,10475,10272,10238,10663,10392,9703,9067,8680,8434,8318,8305,8540,9162,9942,10593,10807,10854,10904,10881,,,,,,
17805,17469,16894,16490,16008,14844,13586,12627,11966,11525,11315,11343,11475,11899,12470,12905,13236,13820,14243,14670,15045,15277,15507,15623,,,,,,
12952,12158,11335,10825,10522,10385,10371,10634,11335,12414,13003,13033,13017,12981,12851,12725,12639,12634,12819,13490,13803,13684,13529,13219,,,,,,
9545,10551,11245,11759,12243,12613,12928,13294,13586,13794,13810,13506,13066,12738,12598,12351,11483,10543,9810,9262,8931,8799,8894,9195,,,,,,
12718,13016,13311,13457,13608,13857,13993,14162,14260,14082,13423,12564,11963,11189,10157,9238,8659,8293,8048,7961,8133,8629,9433,10225,,,,,,
10614,11191,11286,11262,11050,10783,10297,9858,9527,9405,9328,9382,9699,10414,11433,11797,11797,11776,11731,11616,11489,11418,11301,11257,,,,,,
13078,13645,13534,13382,13157,12678,11910,11183,10721,10445,10318,10338,10635,11294,12364,12763,12737,12603,12549,12369,12201,12042,11897,11878,,,,,,
10825,10522,10385,10371,10634,11335,12414,13003,13033,13017,12981,12851,12725,12639,12634,12819,13490,13803,13684,13529,13219,12681,11784,11014,,,,,,
11460,11871,11744,11608,11479,11375,10975,10596,10223,10004,9801,9754,9853,10060,10354,10412,10512,10577,10585,10601,10572,10571,10629,10830,,,,,,
8997,8517,8193,8020,7949,8149,8651,9526,10325,10775,10976,11126,11182,11157,11171,11095,10983,10943,10833,10690,10655,10730,10371,9712,,,,,,
10450,10639,10446,9859,9227,8747,8385,8197,8047,8076,8216,8307,8834,9451,10048,10547,10928,11240,11394,11542,11671,11748,11681,11322,,,,,,
10824,10780,10679,10576,10524,10868,10960,10659,10081,9384,8677,8231,7985,7828,7756,7993,8648,9719,10230,10429,10551,10763,10789,10846,,,,,,
13564,12568,11516,10721,10190,9781,9580,9646,10104,11056,12147,13045,13647,14193,14535,14623,14886,14981,14983,15057,14722,14196,13788,13812,,,,,,
13219,12681,11784,11014,10516,10245,10166,10194,10555,11281,12388,12902,12906,12860,12751,12571,12437,12438,12371,12503,13261,13746,13613,13442,,,,,,
10746,10899,11465,12308,12881,13386,13734,14114,14356,14789,15312,15536,15641,15548,15192,14382,13607,13358,12553,11478,10416,9703,9217,8907,,,,,,
12882,12538,11900,11031,10127,9614,9231,8999,8855,9039,9730,10919,11629,12067,12451,12865,13341,13938,14426,14598,14719,14773,14415,13775,,,,,,
11461,11462,11409,11344,11370,11378,11242,10964,10479,10254,10118,9612,9036,8532,8182,7899,7728,7626,7481,7605,7984,8494,8951,9305,,,,,,
10979,11902,12530,13002,13339,13552,13731,14005,14214,14411,14485,14386,13902,13271,12973,12597,11690,10709,10051,9555,9256,9108,9240,9656,,,,,,
15692,15564,14919,13968,13508,12850,11957,10816,10076,9551,9088,8831,8677,8725,8638,9094,9935,10918,11924,12980,13953,14708,15112,14964,,,,,,
12146,12280,12261,12179,12059,11974,12154,12878,13673,13686,13632,13423,13191,12684,12132,11711,11405,11235,11145,11192,11288,11507,11554,11624,,,,,,
15277,15507,15623,15313,14622,13880,13228,12819,11911,10871,10049,9462,9092,8782,8727,8670,9065,9697,10357,10971,11333,11461,11462,11409,,,,,,
13955,13530,12817,12235,11967,11228,10487,9710,9153,8712,8472,8301,8132,8244,8847,9603,10424,11161,11944,12601,13334,14119,14698,14893,,,,,,
8083,7730,7468,7314,7263,7351,7402,7520,7934,8390,8669,8896,9033,9128,9270,9363,9470,9481,9439,9799,9847,9464,8964,8416,,,,,,
17628,17450,17115,16749,16342,16071,16014,15515,14501,13324,12382,11696,11208,10940,11027,11584,12364,13467,14398,15174,15899,16500,16962,17277,,,,,,
9553,10738,11287,11767,12123,12531,12742,12900,13087,13284,13322,13172,13112,13132,13357,13004,12383,11453,10621,9993,9631,9369,9252,9500,,,,,,
12675,12961,13225,13449,13535,13642,13683,13483,12962,12346,12128,11634,10747,9809,9181,8774,8495,8377,8479,8995,9633,10536,11253,11873,,,,,,
11753,11775,11817,11819,11698,11673,11689,11808,11701,11361,10990,10307,9673,9106,8768,8501,8376,8322,8616,9019,9310,9823,10300,10736,,,,,,
8243,8697,9081,9320,9474,9540,9644,9719,9886,9937,9748,9601,9663,9632,9127,8575,8094,7776,7587,7480,7463,7442,7543,7950,,,,,,
10648,10614,10817,10863,10346,9587,8898,8501,8240,8086,8070,8273,8880,9670,10352,10630,10751,10848,10870,10854,10878,10797,10729,10679,,,,,,
9181,8774,8495,8377,8479,8995,9633,10536,11253,11873,12510,13025,13488,14024,14426,14706,14847,14716,14306,13701,13555,12940,11918,10853,,,,,,
9287,8865,8557,8372,8279,8307,8571,9343,10549,11271,11373,11403,11384,11307,11218,11256,11213,11242,11350,11622,11867,11740,11467,10982,,,,,,
11147,11200,11118,11032,10905,10738,10510,10829,10827,10313,9577,8892,8427,8122,7938,7862,8007,8598,9607,10207,10648,10972,11263,11379,,,,,,
9668,9755,10075,10466,10763,11119,11362,11340,11217,11080,10916,10706,10753,11116,11415,11257,11063,10797,10495,9971,9524,9150,8934,8740,,,,,,
14024,14426,14706,14847,14716,14306,13701,13555,12940,11918,10853,10083,9508,9142,8982,9050,9550,10179,11081,12020,12796,13516,14049,14485,,,,,,
12788,11767,11236,10930,10746,10899,11465,12308,12881,13386,13734,14114,14356,14789,15312,15536,15641,15548,15192,14382,13607,13358,12553,11478,,,,,,
9486,10171,10745,11261,11624,11853,12006,12219,12342,12399,12384,12165,11713,11393,11427,10945,10273,9519,8949,8593,8288,8146,8132,8357,,,,,,
17352,17071,16318,15208,13786,12455,11472,10760,10219,9843,9790,10266,11166,11512,11811,11922,12155,12472,12847,13075,13073,12982,12660,12125,,,,,,
9165,8984,9122,9573,10500,11680,12759,13781,14845,15680,16392,17044,17404,17531,17527,17020,16187,15415,15061,14533,13470,12322,11422,10809,,,,,,
10238,9536,8902,8478,8176,7952,7837,7855,8067,8416,8578,9058,9382,9655,9748,9802,9767,9754,9796,9774,9584,9563,9881,9698,,,,,,
8828,9148,9887,10995,11710,11852,11843,11899,11851,11716,11578,11474,11460,12157,12798,12710,12567,12308,11800,11013,10256,9694,9389,9229,,,,,,
8288,8146,8132,8357,8563,8940,9486,10002,10449,10765,10967,11113,11122,11008,10834,10683,10548,10720,10728,10424,9901,9314,8868,8509,,,,,,
12277,12657,12790,12780,12651,12477,12471,12660,12391,11699,10804,9966,9374,8985,8761,8676,8844,9553,10738,11287,11767,12123,12531,12742,,,,,,
